Trial,ND,Genotype,OnTransientPositive,OffTransientNegative,SteadyState,Repeat,Fly
909,3,CKO,2.76133795590312,-1.02491229565296,-4.12838822727265,9,58
910,3,CKO,6.10525837040212,-5.82572311978721,-8.95763088786225,10,58
911,3,CKO,3.47738448211086,-5.74358914226911,-8.96995516605564,1,60
912,3,CKO,2.98060562475725,-3.76667550218683,-9.4005210636758,2,60
913,3,CKO,4.19926785466076,-6.08016929122359,-17.0764757284895,3,60
914,3,CKO,4.25211628891919,-7.18341088551301,-7.08592571335612,4,60
915,3,CKO,4.07301023165066,-4.68499347716802,-7.18428245628922,5,60
916,3,CKO,4.56903380185505,-4.04499483010877,-11.7285201362226,6,60
917,3,CKO,6.9391346257003,-7.62485013586737,-6.45807159634055,7,60
918,3,CKO,3.87245439638161,-3.28750484135997,-10.8137593233582,8,60
919,3,CKO,4.14747430599482,-4.7680775727196,-9.43019063672824,9,60
920,3,CKO,7.23783506553158,-7.28879158121087,-8.86872109124798,10,60
921,4,Gal4,4.1856946349836,-5.09813078698327,-7.22610371584737,1,26
922,4,Gal4,3.7315952157022,-5.74383851019564,-7.46650933815534,2,26
923,4,Gal4,2.96990834511747,-2.97321809493482,-9.02564548743631,3,26
924,4,Gal4,2.19598976560212,-1.49432192119039,-2.3858968420129,4,26
925,4,Gal4,4.02168332468726,-3.70694109371582,-9.28050395825174,5,26
926,4,Gal4,4.17173030745496,-2.84526757820898,-8.19798533044754,6,26
927,4,Gal4,1.67591287583876,-0.54023054357691,-3.55273172816769,7,26
928,4,Gal4,3.08094314681999,-3.12430726613403,-7.71615087333208,8,26
929,4,Gal4,3.56358559481361,-3.02206051261047,-8.23217530292595,9,26
930,4,Gal4,3.52537946074168,-2.21730253836512,-5.83940800160209,10,26
931,4,Gal4,3.24352534374,-1.30603752626072,-6.40682068035885,1,30
932,4,Gal4,4.39526843345403,-5.64814166759003,-7.31776616573891,2,30
933,4,Gal4,3.80224236173653,-6.60153602474355,-7.60804146102944,3,30
934,4,Gal4,2.58607961054836,-3.35032693628965,-8.85624873459677,4,30
935,4,Gal4,2.25002387389884,-1.77360005563238,-2.67166586017983,5,30
936,4,Gal4,4.30169245978803,-4.23567462736844,-9.33051559216684,6,30
937,4,Gal4,4.37050301364672,-3.31452853683343,-7.53354692763688,7,30
938,4,Gal4,2.37287763892901,-4.22240427312644,-3.62116683199272,8,30
939,4,Gal4,3.23883322475027,-3.51508997875743,-7.56802816512638,9,30
940,4,Gal4,4.08191778066776,-3.43157201221863,-8.14303461634282,10,30
941,4,Gal4,3.79562824030425,-2.18962939800206,-5.56496762856282,1,32
942,4,Gal4,3.41978611252899,-1.14659358581096,-6.0925727774086,2,32
943,4,Gal4,4.11927041475859,-5.38593089590003,-7.12427967782672,3,32
944,4,Gal4,3.83999096818209,-7.12161043003931,-8.12371569532953,4,32
945,4,Gal4,3.03244421508911,-3.25235965540288,-8.96124056102816,5,32
